idx,cap,R0_mOhm,rmse,rise,railed,pass_,c1,c2,R_end_mOhm
1,1.8564874208181574,151.695661319442,0.1447864143438577,14.652147445917535,False,True,-1.1365811517234987,1.9145406402960985,269.70874041819735
3,1.846327249719927,152.19142966171106,0.1498210515297626,14.335646031057706,False,True,-1.1020512834917084,1.8809284795052157,270.7298636539115
5,1.8353491942234077,150.07845290709622,0.13472343794735003,14.084530525862988,False,True,-1.0744249863953086,1.8536767751531351,267.0273557889582
7,1.8352625275821128,148.2545550100082,0.1460002619477439,14.108068037117334,False,True,-1.0962736981109549,1.8916642299114865,266.17482436126977
9,1.8346455082120419,145.91543514301543,0.14892842386445915,14.140595614085555,False,True,-1.1088339147535298,1.9247372493486763,264.9683252451035
11,1.8356616600675495,146.3722646849093,0.15418425796883733,14.229397669472462,False,True,-1.1090630950464526,1.9338549139839476,267.09891111637614
13,1.8351461429226603,146.82117454050848,0.15922542148358398,14.235822946429721,False,True,-1.1133319496262615,1.9438039451738987,268.75204834981247
15,1.8257567905665537,145.14305199680132,0.12865560961851405,13.80350143457656,False,True,-1.051952062654679,1.8566559419711115,261.940228994454
17,1.8247738529891333,144.66844261336288,0.13582524794649375,13.891056271332332,False,True,-1.0683984707936962,1.8820186593455484,262.37360816995005
19,1.824613268496936,143.6490631009107,0.1413742573195376,13.954923620632258,False,True,-1.090593630499936,1.922778354290963,263.1916190003819
21,1.8246195526864504,141.65713898643673,0.1535394808264217,14.104718071788682,False,True,-1.100152579825734,1.9575689388748947,263.1162873295083
24,1.8142019357673917,144.45880925062434,0.13334368531887464,13.77764600378049,False,True,-1.034382700164454,1.8463591006303663,261.7559532015381
26,1.8137521577549054,143.96571308984892,0.1433623572704422,13.845846734525537,False,True,-1.0572333902109894,1.8860567517374356,263.2878593575294
28,1.8134404914735822,142.10464518938855,0.14808844255171227,14.072310729819833,False,True,-1.0727987246004842,1.9209977665620046,262.63766909730975
30,1.8025980036306504,139.9511632113066,0.12875033771736605,13.741466689435129,False,True,-1.0452133615840227,1.883689246197524,257.29683858759546
32,1.80210690024615,138.74683841237092,0.13396635406993673,13.872944741868082,False,True,-1.0613408017337154,1.915494707403863,257.25799234168244
34,1.802579500826209,138.79367737520113,0.14178815570917078,13.95667580336044,False,True,-1.0667224726330689,1.9332401590293067,259.0608535807863
36,1.8030683142834096,139.6679941368115,0.1494879565471661,14.096334329174795,False,True,-1.0788056714790244,1.9477336223724357,261.02941808750415
38,1.8027776247196041,139.47310134319733,0.15553865895573415,14.185140915471948,False,True,-1.0786777955827123,1.9578769776302927,262.0977379617757
41,1.8470259949329193,145.23845782854798,0.13820586016597863,13.888783779296375,False,True,-1.031302382560518,1.8118005265614965,258.596804601294
45,1.847417311283644,149.12514507533152,0.15438016331281493,14.07016945722529,False,True,-1.0286682785957033,1.8301570688999413,268.64727720570295
49,1.8361774213478947,143.83489436987927,0.14117624795268946,13.948275574114973,False,True,-1.0364986766569475,1.8547250985426769,261.52440533245743
53,1.8257807475776242,139.443972165318,0.13743869142815818,13.949234677873733,False,True,-1.0411857894747303,1.8783646352341854,256.18351583079254
57,1.8251136435078368,138.00840089139172,0.1445461565330035,14.110271378053937,False,True,-1.0720901546747759,1.9361527693050269,257.25630060654754
61,1.8255815042203762,137.56218302851124,0.15551989256879972,14.246717551430208,False,True,-1.0943271345175563,1.9716409791048055,258.2473906910693
65,1.8140311275083907,135.96081599590488,0.14570631931313072,14.043746186110468,False,True,-1.0693026445612945,1.9375408501209181,254.00719090261148
69,1.8147691941158939,135.32650496611635,0.1579425922763899,14.29946773136021,False,True,-1.1120881363471005,2.00792595629932,256.5571061567152
73,1.813969388710352,135.16475048314408,0.16566517906264114,14.433546048604114,False,True,-1.1370962175092345,2.0461608851028137,258.0382494514725
77,1.802765665167823,134.71403932616775,0.1565009561032045,14.20085769442386,False,True,-1.0914367023125,1.9856426228257478,255.17613086788143
81,1.804077040117352,135.56992031688142,0.16535544057805499,14.392900662846728,False,True,-1.1205782021657786,2.026777288757452,258.4232582773453
85,1.8518025516704486,137.1920449526335,0.20783598910784115,14.67666650056077,False,True,-1.1133920391182142,2.019681540700534,261.52775499381494
89,1.8307038456739428,141.32111508225165,0.202040608227079,14.287220103926472,False,True,-1.109251332268365,1.9513178047231143,260.322887942935
93,1.8199041089501267,138.44876021523268,0.2065278443278488,14.308408700187329,False,True,-1.1322255374120287,1.9886043299136666,257.01334231170244
97,1.8093079637028517,133.34675205323583,0.20122415407951752,14.32194371135165,False,True,-1.1712359647921682,2.0672809317628347,252.8314380924232
101,1.80460990458052,134.62907504685816,0.20128122313145397,14.3405600102883,False,True,-1.2663205674882698,2.1663016284719783,255.79269284678492
105,1.7993770651972192,139.79678035071453,0.21312714391847332,14.36112038390229,False,True,-1.1470102121047074,2.0126747199234467,260.8138914076602
109,1.7884432335370462,135.88418964974952,0.21049045203909214,14.317003853809467,False,True,-1.166146676023309,2.060951505623897,257.4740188147077
113,1.7829230484252723,134.3821849859479,0.2192447407377552,14.557984921026161,False,True,-1.1902257958218034,2.1032872940452796,257.0813841437618
117,1.7730337158018288,131.87532171761117,0.2111682145358678,14.518922832738554,False,True,-1.1978219577779583,2.140774983157861,256.2275553041806
