idx,cap,R_mOhm,h,R_over_h,rmse,rise,tau_frac,railed,pass_
1,1.8564874208181574,88.22426606485612,12.479470574462992,7.069551992485269,0.7732408454669057,14.652147445917535,1.8606936006417323,False,False
3,1.846327249719927,86.78731464506495,12.006022445953349,7.228648375075858,0.7473796705822285,14.335646031057706,1.7814240199297824,False,False
5,1.8353491942234077,86.18726106068321,12.041332152408245,7.157618440368819,0.7278359278158331,14.084530525862988,1.7765907952465538,False,False
7,1.8352625275821128,84.04229922447614,11.642366905192128,7.218660939726605,0.7315180971025798,14.108068037117334,1.7082823792048585,False,False
9,1.8346455082120419,82.59753431540466,11.432889496441938,7.224554592354808,0.731509959966405,14.140595614085555,1.676441310690149,False,False
11,1.8356616600675495,83.05348381245112,11.44975216413914,7.2537363797774015,0.7351497292962551,14.229397669472462,1.6896045367189603,False,False
13,1.8351461429226603,82.52249063298267,11.239202120542291,7.342379801334239,0.737193589929501,14.235822946429721,1.6578744969428354,False,False
15,1.8257567905665537,81.4930050092142,11.115507452057502,7.331469603228029,0.7050389839297216,13.80350143457656,1.604429411863644,False,False
17,1.8247738529891333,80.57163785732622,10.855293103562781,7.422336466518999,0.7118841793170225,13.891056271332332,1.5572823661313693,False,False
19,1.824613268496936,79.4864700830607,10.62703560054966,7.479646542159833,0.7195442563483573,13.954923620632258,1.524818592987959,False,False
21,1.8246195526864504,77.98451942881705,10.255711070462727,7.604009014393819,0.7252788885372821,14.104718071788682,1.462837333596002,False,False
24,1.8142019357673917,79.82986607901307,10.541363896057096,7.573011127039522,0.7003186420539218,13.77764600378049,1.4868715160790975,False,False
26,1.8137521577549054,78.25031565920443,10.120790945111347,7.731640351389901,0.712482325002046,13.845846734525537,1.4190702433047255,False,False
28,1.8134404914735822,78.63029797240037,10.267301715753092,7.658321548275739,0.7210700176750459,14.072310729819833,1.4394964425722518,False,False
30,1.8025980036306504,78.1359457040217,10.407519706617586,7.507643310474754,0.6966541557337073,13.741466689435129,1.4508700614619614,False,False
32,1.80210690024615,77.77786497243576,10.35495450779261,7.511173990566942,0.7057008402704434,13.872944741868082,1.434802160553759,False,False
34,1.802579500826209,77.39216024709579,10.205162281050228,7.583628571081503,0.7153553707803711,13.95667580336044,1.4058318187735055,False,False
36,1.8030683142834096,78.15435346459212,10.380152394694388,7.52921060239339,0.7314547651327986,14.096334329174795,1.4219433148413956,False,False
38,1.8027776247196041,77.86822880910164,10.235596074876025,7.607591022493997,0.7353812239471686,14.185140915471948,1.4020827028818896,False,False
41,1.8470259949329193,82.73958004550757,11.515508552537058,7.185056540753353,0.7111555661452013,13.888783779296375,1.6711371149671976,False,False
45,1.847417311283644,80.53708950843941,10.285777786721123,7.8299464735095,0.7284182475695412,14.07016945722529,1.4762883868459027,False,False
49,1.8361774213478947,79.72701210356804,10.544472486994486,7.561024242976882,0.7173557939370085,13.948275574114973,1.5045909921888896,False,False
53,1.8257807475776242,79.01225429302735,10.66980272670988,7.4052216631179855,0.7131495449874687,13.949234677873733,1.505803177080567,False,False
57,1.8251136435078368,78.21240483756463,10.512427340375448,7.439994808541649,0.7221242241099539,14.110271378053937,1.4915303747029651,False,False
61,1.8255815042203762,78.03853059341651,10.559378728311193,7.39044716562577,0.747291396259306,14.246717551430208,1.4642069719072401,False,False
65,1.8140311275083907,77.88960657850124,10.607424601153111,7.342932851960506,0.722900219650138,14.043746186110468,1.4705212013992515,False,False
69,1.8147691941158939,77.48109039104475,10.526144191562409,7.360823581834682,0.7473853859000907,14.29946773136021,1.4512920240869784,False,False
73,1.813969388710352,77.16017851921495,10.428245621101878,7.399152390798981,0.7598262305453162,14.433546048604114,1.4370703919573626,False,False
77,1.802765665167823,77.14231058774044,10.348685404163579,7.454310144233763,0.7304677057944633,14.20085769442386,1.4261190943158786,False,False
81,1.804077040117352,77.37802321696923,10.357514931778418,7.470713170739612,0.7519487386762241,14.392900662846728,1.4198035435082161,False,False
85,1.8518025516704486,75.08116456679349,9.365542517213646,8.016744831257355,0.7972377590707811,14.67666650056077,1.3133222698708251,False,False
89,1.8307038456739428,76.9341548530886,9.945048763067195,7.735925352000086,0.7802958723285003,14.287220103926472,1.371857797471781,False,False
93,1.8199041089501267,76.34168255590251,10.081810149148826,7.572219812366511,0.7782491164110868,14.308408700187329,1.3830284191023408,False,False
97,1.8093079637028517,75.19019585001477,10.053102289836175,7.4793027746303835,0.7727233778619472,14.32194371135165,1.37534563043981,False,False
101,1.80460990458052,74.24441860161254,9.913927146512458,7.488900967739146,0.8051467544272555,14.3405600102883,1.3491701225790047,False,False
105,1.7993770651972192,76.92600343734766,9.906936399230085,7.764862954336312,0.7831197600915644,14.36112038390229,1.348250385361177,False,False
109,1.7884432335370462,75.1615457895206,9.64517374897601,7.792658561231227,0.7728518119847492,14.317003853809467,1.3089061951105843,False,False
113,1.7829230484252723,75.53567497181817,9.819703563562534,7.692256134095991,0.7851245126836613,14.557984921026161,1.3249656586067509,False,False
117,1.7730337158018288,75.03126465438727,9.6412248446866,7.782337396242548,0.7751956444709087,14.518922832738554,1.2976757528175722,False,False
121,1.773037755078937,76.2866057337525,9.545511649322846,7.991882314570769,0.7953607208922606,14.959371983891572,1.2809066159026767,False,False
125,1.7678721106662054,78.46238909096398,9.518684655682778,8.242986497522104,0.7833418608764204,14.728714061595383,1.277559010560481,False,False
129,1.7623150704093087,78.89167505106195,9.509116533142073,8.296425306820169,0.7772781159679062,14.616668328231015,1.2724266016049637,False,False
