idx,cap,R0_mOhm,beta,h,R_end_mOhm,rmse,rise,tau_frac,railed,pass_
1,1.8564874208181574,105.87634086769604,0.9866016421572131,30.153561240363338,210.3341126333618,0.6956626543447412,14.652147445917535,4.495906945869534,False,False
3,1.846327249719927,100.91886918837295,0.8333960493594568,25.907392508259466,185.02425607578675,0.6705431736500015,14.335646031057706,3.844075047812187,False,False
5,1.8353491942234077,99.63874808306183,0.8342205075802057,25.739038665760166,182.7594350835699,0.6447828808641183,14.084530525862988,3.797564803736369,False,False
7,1.8352625275821128,102.76859570474979,0.9743175293682577,29.225658887914538,202.89783996844696,0.6640903368894608,14.108068037117334,4.28827561486754,False,False
9,1.8346455082120419,99.94390962417607,0.9954750182180913,28.88812248870356,199.43557487809002,0.665093212890881,14.140595614085555,4.235958192669628,False,False
11,1.8356616600675495,94.01222759911263,0.8379748487926328,24.339775105345595,172.79210980613763,0.6587013194160148,14.229397669472462,3.5917453802637063,False,False
13,1.8351461429226603,92.97776844165521,0.8146297293190985,23.544335848429895,168.72022277997462,0.663437539907779,14.235822946429721,3.472982648761682,False,False
15,1.8257567905665537,115.05938323906778,1.2752511056615679,39.023210662144955,261.78898893142707,0.6701900576519421,13.80350143457656,5.632670141398455,False,False
17,1.8247738529891333,123.38809980796327,1.4364852549420877,45.5187093517495,300.63328581742513,0.7095610395890976,13.891056271332332,6.530038638871341,False,False
19,1.824613268496936,120.5630273832652,1.4649036910135937,45.06559791797157,297.1762511967833,0.7191671395880137,13.954923620632258,6.466230489139255,False,False
21,1.8246195526864504,125.03519093698904,1.6310636814092867,50.581902987306734,328.9755497723874,0.7472603181279337,14.104718071788682,7.214818707916752,False,False
24,1.8142019357673917,139.1506344695302,1.6039338299644001,55.47550513565477,362.33904455622,0.709195522308041,13.77764600378049,7.824883880268808,False,False
26,1.8137521577549054,145.66038179014754,1.717374677505538,61.023088618352446,395.81383299233573,0.725995426040492,13.845846734525537,8.55625313105393,False,False
28,1.8134404914735822,140.30001126037817,1.8087322698207495,61.10118806370769,394.0651690832387,0.7285485001922375,14.072310729819833,8.566510003275383,False,False
30,1.8025980036306504,138.67689567925902,1.8015078540090324,61.010541339229256,388.5044124150354,0.6827757679031479,13.741466689435129,8.50523182832803,False,False
32,1.80210690024615,142.37715185729888,1.9479613170159908,66.5537196525638,419.7223361022285,0.6772403159334301,13.872944741868082,9.221809779900601,False,False
34,1.802579500826209,148.58171283086665,2.03120000150111,71.4511681245537,450.3808881559605,0.668527543742815,13.95667580336044,9.84289351523135,False,False
36,1.8030683142834096,156.44563199325933,2.0954282376983357,76.82347107155458,484.2662269364971,0.655937301567558,14.096334329174795,10.523797431812616,False,False
38,1.8027776247196041,155.61457448103545,2.125095257801857,76.92467064182239,486.31036875553775,0.6645163552968086,14.185140915471948,10.537222194271848,False,False
41,1.8470259949329193,128.46268381269164,1.4403909390455023,47.741777708721905,313.49916958196,0.6950126768976779,13.888783779296375,6.92831378653974,False,False
45,1.847417311283644,148.12226626065532,1.5795692618356822,56.97469014724593,382.0916450394271,0.7531818764257802,14.07016945722529,8.177414985292579,False,False
49,1.8361774213478947,139.92762202547814,1.692585726635227,57.70743449289788,376.7671178278115,0.715399595794321,13.948275574114973,8.234274993598357,False,False
53,1.8257807475776242,138.7049803929603,1.8980621419093466,63.17776915661011,401.9756525711164,0.6797918117553025,13.949234677873733,8.91612412652556,False,False
57,1.8251136435078368,128.09129990296825,1.9034082548823912,58.35742623043311,371.9013375168941,0.706894956407958,14.110271378053937,8.279902537625517,False,False
61,1.8255815042203762,150.961865826801,2.255506894559103,78.72487799194343,491.45739501465687,0.6412649766695274,14.246717551430208,10.916316024284317,False,False
65,1.8140311275083907,142.3000578920737,2.209900650517141,73.5702423268734,456.76904839639417,0.6357184021189564,14.043746186110468,10.199139301163374,False,False
69,1.8147691941158939,144.35398565775805,2.3985305600545224,79.4381929292905,490.5914317235629,0.634712094895069,14.29946773136021,10.952540047719939,False,False
73,1.813969388710352,142.55131072777954,2.4490156287498475,79.68381291186668,491.6616985988874,0.6554480403079926,14.433546048604114,10.980873716878738,False,False
77,1.802765665167823,137.9379769134836,2.335976356718508,74.32094929636035,460.1578296769647,0.6512605300174871,14.20085769442386,10.241931294633682,False,False
81,1.804077040117352,143.82498449941633,2.437072428484375,79.78657659587242,494.33688875013655,0.6481442035994177,14.392900662846728,10.937108459061482,False,False
85,1.8518025516704486,140.8804168119563,2.4799504523275515,77.29352804225176,490.25687020886136,0.6851096166171549,14.67666650056077,10.838807416462952,False,False
89,1.8307038456739428,159.5435826309999,2.238271167615938,81.850544309561,516.6453836121179,0.6527173868664942,14.287220103926472,11.290774948774587,False,False
93,1.8199041089501267,151.5301445694904,2.3319816265330497,81.49780660523362,504.89565757143885,0.646546123573554,14.308408700187329,11.179915209875343,False,False
97,1.8093079637028517,132.8061810828423,2.593301652243572,78.7174314172906,477.21266991313627,0.6544256926069311,14.32194371135165,10.769180718341252,False,False
101,1.80460990458052,136.43623561144605,2.668780716001791,83.46862773328847,500.5546301751501,0.6810227593239574,14.3405600102883,11.359108963196029,False,False
105,1.7993770651972192,147.64717899667315,2.327904259532552,78.44596265891794,491.3556758909937,0.6905203135879403,14.36112038390229,10.675833085305168,False,False
109,1.7884432335370462,135.10982275944102,2.4638726610814548,75.88099252424051,468.0032212999887,0.6932634935725558,14.317003853809467,10.297492174950488,False,False
113,1.7829230484252723,131.70768089549236,2.660791024954762,78.89621732871655,482.1542961398242,0.6893304351224915,14.557984921026161,10.645410818959553,False,False
